"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KHM","Cambodia","2019","2019",23.20455,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","ARG","Argentina","2018","2018",16.04744,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","ARG","Argentina","2019","2019",15.4227,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","ARG","Argentina","2020","2020",14.1463,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","ARG","Argentina","2021","2021",15.04236,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","MOZ","Mozambique","2017","2017",9.03266,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","MOZ","Mozambique","2018","2018",9.56001,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KOR","Republic of Korea","2017","2017",29.3442,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KOR","Republic of Korea","2019","2019",29.60524,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KOR","Republic of Korea","2020","2020",30.18261,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KOR","Republic of Korea","2021","2021",30.39129,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","KOR","Republic of Korea","2022","2022",30.41798,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","SRB","Serbia","2017","2017",26.63772,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","SRB","Serbia","2018","2018",28.12624,,
"FOSGP_5T8_F500600700","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","SRB","Serbia","2019","2019",28.35468,,
